model,cv_roc_auc_train,roc_auc_test,pr_auc_test,best_thr_F2,F2_at_best_thr,precision_at_best_thr,recall_at_best_thr
Logistic (balanced),0.8387,0.8437,0.2681,0.731,0.4888,0.2215,0.7
XGBoost (SPW),0.8183,0.809,0.2041,0.207,0.3855,0.1411,0.68
RandomForest + SMOTE,0.7887,0.7749,0.122,0.092,0.3652,0.1168,0.78
